year,state,candidate,party,candidatevotes
1980,Alabama,"Reagan, Ronald",republican,654192
1980,Alabama,"Carter, Jimmy",democrat,636730
1980,Alabama,"Anderson, John B.",independent,16481
1980,Alabama,"Rarick, John",conservative,15010
1980,Alabama,"Clark, Edward """"Ed""""",libertarian,13318
1980,Alabama,"Bubar, Benjamin """"Ben""""",statesman,1743
1980,Alabama,"Hall, Gus",communist party use,1629
1980,Alabama,"Deberry, Clifton",socialist workers,1303
1980,Alabama,"McReynolds, David",socialist,1006
1980,Alabama,"Commoner, Barry",citizens,517
1980,Alaska,"Reagan, Ronald",republican,86112
1980,Alaska,"Carter, Jimmy",democrat,41842
1980,Alaska,"Clark, Edward """"Ed""""",libertarian,18479
1980,Alaska,"Anderson, John B.",independent,11155
1980,Alaska,,,857
1980,Arizona,"Reagan, Ronald",republican,529688
1980,Arizona,"Carter, Jimmy",democrat,246843
1980,Arizona,"Anderson, John B.",independent,76952
1980,Arizona,"Clark, Edward """"Ed""""",libertarian,18784
1980,Arizona,"Deberry, Clifton",socialist workers,1100
1980,Arizona,"Commoner, Barry",citizens,551
1980,Arizona,"Hall, Gus",communist party use,25
1980,Arizona,"Griswold, Deirdre",workers world,2
1980,Arkansas,"Reagan, Ronald",republican,403164
1980,Arkansas,"Carter, Jimmy",democrat,398041
1980,Arkansas,"Anderson, John B.",independent,22468
1980,Arkansas,"Clark, Edward """"Ed""""",libertarian,8970
1980,Arkansas,"Commoner, Barry",citizens,2345
1980,Arkansas,"Bubar, Benjamin """"Ben""""",statesman,1350
1980,Arkansas,"Hall, Gus",communist party use,1244
1980,California,"Reagan, Ronald",republican,4522994
1980,California,"Carter, Jimmy",democrat,3082943
1980,California,"Anderson, John B.",independent,739618
1980,California,"Clark, Edward """"Ed""""",libertarian,148390
1980,California,"Commoner, Barry",citizens,61046
1980,California,"Smith, Maureen",peace & freedom,18106
1980,California,"Rarick, John",american independent party,9841
1980,Colorado,"Reagan, Ronald",republican,652264
1980,Colorado,"Carter, Jimmy",democrat,368009
1980,Colorado,"Anderson, John B.",national unity campaign,130633
1980,Colorado,"Clark, Edward """"Ed""""",libertarian,25744
1980,Colorado,"Commoner, Barry",citizens,5614
1980,Colorado,"Bubar, Benjamin """"Ben""""",statesman,1180
1980,Colorado,"Pulley, Andrew",socialist workers,519
1980,Colorado,"Hall, Gus",communist party use,487
1980,Connecticut,"Reagan, Ronald",republican,677210
1980,Connecticut,"Carter, Jimmy",democrat,541732
1980,Connecticut,"Anderson, John B.",anderson coalition,171807
1980,Connecticut,"Clark, Edward """"Ed""""",libertarian,8570
1980,Connecticut,"Commoner, Barry",citizens,6130
1980,Connecticut,,,836
1980,Delaware,"Reagan, Ronald",republican,111252
1980,Delaware,"Carter, Jimmy",democrat,105754
1980,Delaware,"Anderson, John B.",independent,16288
1980,Delaware,"Clark, Edward """"Ed""""",libertarian,1974
1980,Delaware,"Greaves, Percy L, Jr.",american,400
1980,District of Columbia,"Carter, Jimmy",democrat,130231
1980,District of Columbia,"Reagan, Ronald",republican,23313
1980,District of Columbia,"Anderson, John B.",independent,16131
1980,District of Columbia,"Commoner, Barry",citizens,1826
1980,District of Columbia,"Clark, Edward """"Ed""""",libertarian,1104
1980,District of Columbia,,,690
1980,District of Columbia,"Hall, Gus",communist party use,369
1980,District of Columbia,"Deberry, Clifton",socialist workers,173
1980,District of Columbia,"Griswold, Deirdre",workers world,52
1980,Florida,"Reagan, Ronald",republican,2046951
1980,Florida,"Carter, Jimmy",democrat,1419475
1980,Florida,"Anderson, John B.",independent,189692
1980,Florida,"Clark, Edward """"Ed""""",libertarian,30524
1980,Florida,,,285
1980,Georgia,"Carter, Jimmy",democrat,890955
1980,Georgia,"Reagan, Ronald",republican,654168
1980,Georgia,"Anderson, John B.",independent,36055
1980,Georgia,"Clark, Edward """"Ed""""",libertarian,15627
1980,Hawaii,"Carter, Jimmy",democrat,135879
1980,Hawaii,"Reagan, Ronald",republican,130112
1980,Hawaii,"Anderson, John B.",independent,32021
1980,Hawaii,"Clark, Edward """"Ed""""",libertarian,3269
1980,Hawaii,"Commoner, Barry",citizens,1548
1980,Hawaii,"Hall, Gus",communist party use,458
1980,Idaho,"Reagan, Ronald",republican,290699
1980,Idaho,"Carter, Jimmy",democrat,110192
1980,Idaho,"Anderson, John B.",independent,27058
1980,Idaho,"Clark, Edward """"Ed""""",libertarian,8425
1980,Idaho,"Rarick, John",american independent party,1057
1980,Illinois,"Reagan, Ronald",republican,2358049
1980,Illinois,"Carter, Jimmy",democrat,1981413
1980,Illinois,"Anderson, John B.",independent,346754
1980,Illinois,"Clark, Edward """"Ed""""",libertarian,38939
1980,Illinois,"Commoner, Barry",citizens,10692
1980,Illinois,"Hall, Gus",communist party use,9711
1980,Illinois,"Griswold, Deirdre",workers world,2257
1980,Illinois,"Deberry, Clifton",socialist workers,1302
1980,Illinois,,,604
1980,Indiana,"Reagan, Ronald",republican,1255656
1980,Indiana,"Carter, Jimmy",democrat,844197
1980,Indiana,"Anderson, John B.",independent,111639
1980,Indiana,"Clark, Edward """"Ed""""",libertarian,19627
1980,Indiana,"Commoner, Barry",citizens,4852
1980,Indiana,"Greaves, Percy L, Jr.",american,4750
1980,Indiana,"Hall, Gus",communist party use,702
1980,Indiana,"Deberry, Clifton",socialist workers,610
1980,Iowa,"Reagan, Ronald",republican,676026
1980,Iowa,"Carter, Jimmy",democrat,508672
1980,Iowa,"Anderson, John B.",nominated by petition,115633
1980,Iowa,"Clark, Edward """"Ed""""",libertarian,13123
1980,Iowa,"Commoner, Barry",citizens,2273
1980,Iowa,"McReynolds, David",socialist,534
1980,Iowa,,,519
1980,Iowa,"Hall, Gus",communist party use,298
1980,Iowa,"Deberry, Clifton",socialist workers,244
1980,Iowa,"Greaves, Percy L, Jr.",american,189
1980,Iowa,"Bubar, Benjamin """"Ben""""",statesman,150
1980,Kansas,"Reagan, Ronald",republican,566812
1980,Kansas,"Carter, Jimmy",democrat,326150
1980,Kansas,"Anderson, John B.",independent,68231
1980,Kansas,"Clark, Edward """"Ed""""",libertarian,14470
1980,Kansas,"Shelton, Frank, Jr.",american,1555
1980,Kansas,"Hall, Gus",communist party use,967
1980,Kansas,"Bubar, Benjamin """"Ben""""",statesman,821
1980,Kansas,"Rarick, John",american independent party,789
1980,Kentucky,"Reagan, Ronald",republican,635274
1980,Kentucky,"Carter, Jimmy",democrat,617417
1980,Kentucky,"Anderson, John B.",independent,31127
1980,Kentucky,"Clark, Edward """"Ed""""",libertarian,5531
1980,Kentucky,"McCormack, Ellen",respect for life,4233
1980,Kentucky,"Commoner, Barry",citizens,1304
1980,Kentucky,"Pulley, Andrew",socialist workers,393
1980,Kentucky,"Hall, Gus",communist party use,348
1980,Louisiana,"Reagan, Ronald",republican,792853
1980,Louisiana,"Carter, Jimmy",democrat,708453
1980,Louisiana,"Anderson, John B.",independent,26345
1980,Louisiana,"Rarick, John",american independent party,10333
1980,Louisiana,"Clark, Edward """"Ed""""",libertarian,8240
1980,Louisiana,"Commoner, Barry",citizens,1584
1980,Louisiana,"Deberry, Clifton",socialist workers,783
1980,Maine,"Reagan, Ronald",republican,238522
1980,Maine,"Carter, Jimmy",democrat,220974
1980,Maine,"Anderson, John B.",independent,53327
1980,Maine,"Clark, Edward """"Ed""""",libertarian,5119
1980,Maine,"Commoner, Barry",citizens,4394
1980,Maine,"Hall, Gus",communist party use,591
1980,Maine,,,84
1980,Maryland,"Carter, Jimmy",democrat,726161
1980,Maryland,"Reagan, Ronald",republican,680606
1980,Maryland,"Anderson, John B.",independent,119537
1980,Maryland,"Clark, Edward """"Ed""""",libertarian,14192
1980,Massachusetts,"Reagan, Ronald",republican,1057631
1980,Massachusetts,"Carter, Jimmy",democrat,1053802
1980,Massachusetts,"Anderson, John B.",independent,382539
1980,Massachusetts,"Clark, Edward """"Ed""""",libertarian,22038
1980,Massachusetts,"Deberry, Clifton",socialist workers,3735
1980,Massachusetts,,,2289
1980,Massachusetts,"Commoner, Barry",citizens,2056
1980,Michigan,"Reagan, Ronald",republican,1915225
1980,Michigan,"Carter, Jimmy",democrat,1661532
1980,Michigan,"Anderson, John B.",independent,275223
1980,Michigan,"Clark, Edward """"Ed""""",libertarian,41597
1980,Michigan,"Commoner, Barry",citizens,11930
1980,Michigan,"Hall, Gus",communist party use,3262
1980,Michigan,,,956
1980,Minnesota,"Carter, Jimmy",democrat,954173
1980,Minnesota,"Reagan, Ronald",republican,873268
1980,Minnesota,"Anderson, John B.",independent,174997
1980,Minnesota,"Clark, Edward """"Ed""""",libertarian,31593
1980,Minnesota,"Commoner, Barry",citizens,8406
1980,Minnesota,,american,6136
1980,Minnesota,"Hall, Gus",communist party use,1117
1980,Minnesota,"Deberry, Clifton",socialist workers,711
1980,Minnesota,"Griswold, Deirdre",workers world,698
1980,Minnesota,"McReynolds, David",socialist,536
1980,Minnesota,,,281
1980,Mississippi,"Reagan, Ronald",republican,441089
1980,Mississippi,"Carter, Jimmy",democrat,429281
1980,Mississippi,"Anderson, John B.",independent,12036
1980,Mississippi,"Clark, Edward """"Ed""""",libertarian,4702
1980,Mississippi,"Griswold, Deirdre",workers world,2402
1980,Mississippi,"Pulley, Andrew",socialist workers,2240
1980,Missouri,"Reagan, Ronald",republican,1074181
1980,Missouri,"Carter, Jimmy",democrat,931182
1980,Missouri,"Anderson, John B.",independent,77920
1980,Missouri,"Clark, Edward """"Ed""""",libertarian,14422
1980,Missouri,"Deberry, Clifton",socialist workers,1515
1980,Missouri,,,604
1980,Montana,"Reagan, Ronald",republican,206814
1980,Montana,"Carter, Jimmy",democrat,118032
1980,Montana,"Anderson, John B.",independent,29281
1980,Montana,"Clark, Edward """"Ed""""",libertarian,9825
1980,Nebraska,"Reagan, Ronald",republican,419214
1980,Nebraska,"Carter, Jimmy",democrat,166424
1980,Nebraska,"Anderson, John B.",independent,44854
1980,Nebraska,"Clark, Edward """"Ed""""",libertarian,9041
1980,Nevada,"Reagan, Ronald",republican,155017
1980,Nevada,"Carter, Jimmy",democrat,66666
1980,Nevada,"Anderson, John B.",independent,17651
1980,Nevada,"Clark, Edward """"Ed""""",libertarian,4358
1980,New Hampshire,"Reagan, Ronald",republican,221705
1980,New Hampshire,"Carter, Jimmy",democrat,108864
1980,New Hampshire,"Anderson, John B.",independent,49693
1980,New Hampshire,"Clark, Edward """"Ed""""",libertarian,2064
1980,New Hampshire,"Commoner, Barry",citizens,1320
1980,New Hampshire,"Hall, Gus",communist party use,129
1980,New Hampshire,"Griswold, Deirdre",workers world,76
1980,New Hampshire,"Deberry, Clifton",socialist workers,71
1980,New Hampshire,,,68
1980,New Jersey,"Reagan, Ronald",republican,1546557
1980,New Jersey,"Carter, Jimmy",democrat,1147364
1980,New Jersey,"Anderson, John B.",independent,234632
1980,New Jersey,"Clark, Edward """"Ed""""",libertarian,20652
1980,New Jersey,"Commoner, Barry",citizens,8203
1980,New Jersey,"McCormack, Ellen",right-to-life,3927
1980,New Jersey,"Lynen, Kurt",middle class candidate,3694
1980,New Jersey,"Hall, Gus",communist party use,2555
1980,New Jersey,"Pulley, Andrew",socialist workers,2198
1980,New Jersey,"McReynolds, David",socialist,1973
1980,New Jersey,"Gahres, William """"Bill""""",down with lawyers,1718
1980,New Jersey,"Griswold, Deirdre",workers world,1288
1980,New Jersey,"Wendelken, Martin E.",independent,923
1980,New Mexico,"Reagan, Ronald",republican,250779
1980,New Mexico,"Carter, Jimmy",democrat,167826
1980,New Mexico,"Anderson, John B.",independent,29459
1980,New Mexico,"Clark, Edward """"Ed""""",libertarian,4365
1980,New Mexico,"Commoner, Barry",citizens,2202
1980,New Mexico,"Bubar, Benjamin """"Ben""""",statesman,1281
1980,New Mexico,"Pulley, Andrew",socialist workers,325
1980,New York,"Carter, Jimmy",democrat,2728372
1980,New York,"Reagan, Ronald",republican,2637700
1980,New York,"Anderson, John B.",liberal party,467801
1980,New York,"Reagan, Ronald",conservative,256131
1980,New York,"Clark, Edward """"Ed""""",free libertarian,52648
1980,New York,"McCormack, Ellen",right-to-life,24159
1980,New York,"Commoner, Barry",citizens,23186
1980,New York,"Hall, Gus",communist party use,7414
1980,New York,"Deberry, Clifton",socialist workers,2068
1980,New York,"Griswold, Deirdre",workers world,1416
1980,New York,,,1064
1980,North Carolina,"Reagan, Ronald",republican,915018
1980,North Carolina,"Carter, Jimmy",democrat,875635
1980,North Carolina,"Anderson, John B.",independent,52800
1980,North Carolina,"Clark, Edward """"Ed""""",libertarian,9677
1980,North Carolina,"Commoner, Barry",citizens,2287
1980,North Carolina,"Deberry, Clifton",socialist workers,416
1980,North Dakota,"Reagan, Ronald",republican,193695
1980,North Dakota,"Carter, Jimmy",democrat,79189
1980,North Dakota,"Anderson, John B.",independent,23640
1980,North Dakota,"Clark, Edward """"Ed""""",libertarian,3743
1980,North Dakota,"McLain, Harley",natural people's league,296
1980,North Dakota,"Greaves, Percy L, Jr.",american,235
1980,North Dakota,"Hall, Gus",communist party use,93
1980,North Dakota,"Deberry, Clifton",socialist workers,89
1980,North Dakota,"McReynolds, David",socialist,82
1980,North Dakota,"Bubar, Benjamin """"Ben""""",statesman,54
1980,Ohio,"Reagan, Ronald",republican,2206545
1980,Ohio,"Carter, Jimmy",democrat,1752414
1980,Ohio,"Anderson, John B.",independent,254472
1980,Ohio,"Clark, Edward """"Ed""""",libertarian,49033
1980,Ohio,"Commoner, Barry",citizens,8564
1980,Ohio,"Hall, Gus",communist party use,4729
1980,Ohio,"Congress, Richard",socialist workers,4029
1980,Ohio,"Griswold, Deirdre",workers world,3790
1980,Ohio,"Bubar, Benjamin """"Ben""""",statesman,27
1980,Oklahoma,"Reagan, Ronald",republican,695570
1980,Oklahoma,"Carter, Jimmy",democrat,402026
1980,Oklahoma,"Anderson, John B.",independent,38284
1980,Oklahoma,"Clark, Edward """"Ed""""",libertarian,13828
1980,Oregon,"Reagan, Ronald",republican,571044
1980,Oregon,"Carter, Jimmy",democrat,456890
1980,Oregon,"Anderson, John B.",independent,112389
1980,Oregon,"Clark, Edward """"Ed""""",libertarian,25838
1980,Oregon,"Commoner, Barry",citizens,13642
1980,Oregon,,,1713
1980,Pennsylvania,"Reagan, Ronald",republican,2261872
1980,Pennsylvania,"Carter, Jimmy",democrat,1937540
1980,Pennsylvania,"Anderson, John B.",independent,292921
1980,Pennsylvania,"Clark, Edward """"Ed""""",libertarian,33263
1980,Pennsylvania,"Deberry, Clifton",socialist workers,20291
1980,Pennsylvania,"Commoner, Barry",citizens,10430
1980,Pennsylvania,"Hall, Gus",communist party use,5184
1980,Rhode Island,"Carter, Jimmy",democrat,198342
1980,Rhode Island,"Reagan, Ronald",republican,154793
1980,Rhode Island,"Anderson, John B.",independent,59819
1980,Rhode Island,"Clark, Edward """"Ed""""",libertarian,2458
1980,Rhode Island,"Hall, Gus",communist party use,218
1980,Rhode Island,"McReynolds, David",socialist,170
1980,Rhode Island,"Deberry, Clifton",socialist workers,90
1980,Rhode Island,"Griswold, Deirdre",workers world,77
1980,South Carolina,"Reagan, Ronald",republican,439277
1980,South Carolina,"Carter, Jimmy",democrat,428220
1980,South Carolina,"Anderson, John B.",independent,13868
1980,South Carolina,"Clark, Edward """"Ed""""",libertarian,4807
1980,South Carolina,"Rarick, John",american independent party,2086
1980,South Dakota,"Reagan, Ronald",republican,198343
1980,South Dakota,"Carter, Jimmy",democrat,103855
1980,South Dakota,"Anderson, John B.",independent,21431
1980,South Dakota,"Clark, Edward """"Ed""""",libertarian,3824
1980,South Dakota,"Pulley, Andrew",socialist workers,250
1980,Tennessee,"Reagan, Ronald",republican,787761
1980,Tennessee,"Carter, Jimmy",democrat,783051
1980,Tennessee,"Anderson, John B.",independent,35991
1980,Tennessee,"Clark, Edward """"Ed""""",libertarian,7116
1980,Tennessee,"Commoner, Barry",citizens,1112
1980,Tennessee,"Bubar, Benjamin """"Ben""""",statesman,521
1980,Tennessee,"McReynolds, David",socialist,519
1980,Tennessee,"Hall, Gus",communist party use,503
1980,Tennessee,"Deberry, Clifton",socialist workers,490
1980,Tennessee,"Griswold, Deirdre",workers world,400
1980,Tennessee,,,152
1980,Texas,"Reagan, Ronald",republican,2510705
1980,Texas,"Carter, Jimmy",democrat,1881147
1980,Texas,"Anderson, John B.",independent,111613
1980,Texas,"Clark, Edward """"Ed""""",libertarian,37643
1980,Texas,,,528
1980,Utah,"Reagan, Ronald",republican,439687
1980,Utah,"Carter, Jimmy",democrat,124266
1980,Utah,"Anderson, John B.",independent,30284
1980,Utah,"Clark, Edward """"Ed""""",libertarian,7156
1980,Utah,"Commoner, Barry",citizens,1009
1980,Utah,"Greaves, Percy L, Jr.",american,965
1980,Utah,"Rarick, John",american independent party,522
1980,Utah,"Hall, Gus",communist party use,139
1980,Utah,"Deberry, Clifton",socialist workers,124
1980,Vermont,"Reagan, Ronald",republican,94628
1980,Vermont,"Carter, Jimmy",democrat,81952
1980,Vermont,"Anderson, John B.",independent,31761
1980,Vermont,"Commoner, Barry",citizens,2316
1980,Vermont,"Clark, Edward """"Ed""""",libertarian,1900
1980,Vermont,,,413
1980,Vermont,"McReynolds, David",socialist,136
1980,Vermont,"Hall, Gus",communist party use,118
1980,Vermont,"Deberry, Clifton",socialist workers,75
1980,Virginia,"Reagan, Ronald",republican,989609
1980,Virginia,"Carter, Jimmy",democrat,752174
1980,Virginia,"Anderson, John B.",independent,95418
1980,Virginia,"Commoner, Barry",citizens,14024
1980,Virginia,"Clark, Edward """"Ed""""",libertarian,12821
1980,Virginia,"Deberry, Clifton",socialist workers,1986
1980,Washington,"Reagan, Ronald",republican,865244
1980,Washington,"Carter, Jimmy",democrat,650193
1980,Washington,"Anderson, John B.",independent,185073
1980,Washington,"Clark, Edward """"Ed""""",libertarian,29213
1980,Washington,"Commoner, Barry",citizens,9403
1980,Washington,"Deberry, Clifton",socialist workers,1137
1980,Washington,"McReynolds, David",socialist,956
1980,Washington,"Hall, Gus",communist party use,834
1980,Washington,"Griswold, Deirdre",workers world,341
1980,West Virginia,"Carter, Jimmy",democrat,367462
1980,West Virginia,"Reagan, Ronald",republican,334206
1980,West Virginia,"Anderson, John B.",independent,31691
1980,West Virginia,"Clark, Edward """"Ed""""",libertarian,4356
1980,Wisconsin,"Reagan, Ronald",republican,1088845
1980,Wisconsin,"Carter, Jimmy",democrat,981584
1980,Wisconsin,"Anderson, John B.",independent,160657
1980,Wisconsin,"Clark, Edward """"Ed""""",libertarian,29135
1980,Wisconsin,"Commoner, Barry",citizens,7767
1980,Wisconsin,"Rarick, John",american independent party,1519
1980,Wisconsin,,,1337
1980,Wisconsin,"McReynolds, David",socialist,808
1980,Wisconsin,"Hall, Gus",communist party use,772
1980,Wisconsin,"Griswold, Deirdre",workers world,414
1980,Wisconsin,"Deberry, Clifton",socialist workers,383
1980,Wyoming,"Reagan, Ronald",republican,110700
1980,Wyoming,"Carter, Jimmy",democrat,49427
1980,Wyoming,"Anderson, John B.",independent,12072
1980,Wyoming,"Clark, Edward """"Ed""""",libertarian,4514
1984,Alabama,"Reagan, Ronald",republican,872849
1984,Alabama,"Mondale, Walter",democrat,551899
1984,Alabama,"Bergland, David",libertarian,9504
1984,Alabama,"Hall, Gus",communist party use,4671
1984,Alabama,"Richards, Bob",populist,1401
1984,Alabama,"Mason, Melvin",socialist workers,730
1984,Alabama,"Serrette, Dennis",alliance,659
1984,Alaska,"Reagan, Ronald",republican,138377
1984,Alaska,"Mondale, Walter",democrat,62007
1984,Alaska,"Bergland, David",libertarian,6378
1984,Alaska,Other,,843
1984,Arizona,"Reagan, Ronald",republican,681416
1984,Arizona,"Mondale, Walter",democrat,333854
1984,Arizona,"Bergland, David",libertarian,10585
1984,Arizona,Other,,42
1984,Arkansas,"Reagan, Ronald",republican,534774
1984,Arkansas,"Mondale, Walter",democrat,338646
1984,Arkansas,"Bergland, David",libertarian,2221
1984,Arkansas,"Larouche, Lyndon, Jr.",independent,1890
1984,Arkansas,"Hall, Gus",communist party use,1499
1984,Arkansas,"Richards, Bob",populist,1461
1984,Arkansas,"Serrette, Dennis",alliance,1291
1984,Arkansas,"Johnson, Sonia",citizens,960
1984,Arkansas,"Dodge, Earl",prohibition,842
1984,Arkansas,"Lowery, Arthur",united sovereign citizens,822
1984,California,"Reagan, Ronald",republican,5467009
1984,California,"Mondale, Walter",democrat,3922519
1984,California,"Bergland, David",libertarian,49951
1984,California,"Richards, Bob",populist,39265
1984,California,"Johnson, Sonia",citizens,26297
1984,Colorado,"Reagan, Ronald",republican,821817
1984,Colorado,"Mondale, Walter",democrat,454975
1984,Colorado,"Bergland, David",libertarian,11257
1984,Colorado,"Larouche, Lyndon, Jr.",independent,4662
1984,Colorado,"Serrette, Dennis",alliance,978
1984,Colorado,"Dodge, Earl",prohibition,858
1984,Colorado,"Mason, Melvin",socialist workers,810
1984,Colorado,Other,,23
1984,Connecticut,"Reagan, Ronald",republican,890877
1984,Connecticut,"Mondale, Walter",democrat,569597
1984,Connecticut,"Hall, Gus",communist party use,4826
1984,Connecticut,"Serrette, Dennis",alliance,1374
1984,Connecticut,Other,,226
1984,Delaware,"Reagan, Ronald",republican,152190
1984,Delaware,"Mondale, Walter",democrat,101656
1984,Delaware,"Dennis, Delmar",american,269
1984,Delaware,"Bergland, David",libertarian,268
1984,Delaware,"Johnson, Sonia",citizens,121
1984,Delaware,"Serrette, Dennis",alliance,68
1984,District of Columbia,"Mondale, Walter",democrat,180408
1984,District of Columbia,"Reagan, Ronald",republican,29009
1984,District of Columbia,Other,,809
1984,District of Columbia,"Bergland, David",libertarian,279
1984,District of Columbia,"Hall, Gus",communist party use,257
1984,District of Columbia,"Serrette, Dennis",alliance,165
1984,District of Columbia,"Larouche, Lyndon, Jr.",independent,127
1984,District of Columbia,"Mason, Melvin",socialist workers,127
1984,District of Columbia,"Holmes, Larry",workers world,107
1984,Florida,"Reagan, Ronald",republican,2730350
1984,Florida,"Mondale, Walter",democrat,1448816
1984,Florida,Other,,885
1984,Georgia,"Reagan, Ronald",republican,1068722
1984,Georgia,"Mondale, Walter",democrat,706628
1984,Georgia,Other,,753
1984,Hawaii,"Reagan, Ronald",republican,185050
1984,Hawaii,"Mondale, Walter",democrat,147154
1984,Hawaii,"Bergland, David",libertarian,2167
1984,Hawaii,"Hall, Gus",communist party use,821
1984,Hawaii,"Larouche, Lyndon, Jr.",independent,654
1984,Idaho,"Reagan, Ronald",republican,297523
1984,Idaho,"Mondale, Walter",democrat,108510
1984,Idaho,"Bergland, David",libertarian,2823
1984,Idaho,"Richards, Bob",populist,2288
1984,Illinois,"Reagan, Ronald",republican,2707103
1984,Illinois,"Mondale, Walter",democrat,2086499
1984,Illinois,"Bergland, David",libertarian,10086
1984,Illinois,"Hall, Gus",communist party use,4672
1984,Illinois,"Johnson, Sonia",citizens,2716
1984,Illinois,"Winn, Edward",workers league,2632
1984,Illinois,"Serrette, Dennis",alliance,2386
1984,Illinois,"Mason, Melvin",socialist workers,2132
1984,Illinois,Other,,862
1984,Indiana,"Reagan, Ronald",republican,1377230
1984,Indiana,"Mondale, Walter",democrat,841481
1984,Indiana,"Dennis, Delmar",american,7617
1984,Indiana,"Bergland, David",libertarian,6741
1984,Iowa,"Reagan, Ronald",republican,703088
1984,Iowa,"Mondale, Walter",democrat,605620
1984,Iowa,"Larouche, Lyndon, Jr.",independent,6248
1984,Iowa,"Bergland, David",libertarian,1844
1984,Iowa,Other,,1051
1984,Iowa,"Baker, Gerald",big deal party,892
1984,Iowa,"Serrette, Dennis",alliance,463
1984,Iowa,"Mason, Melvin",socialist workers,313
1984,Iowa,"Hall, Gus",communist party use,286
1984,Kansas,"Reagan, Ronald",republican,677296
1984,Kansas,"Mondale, Walter",democrat,333149
1984,Kansas,"Richards, Bob",populist,3564
1984,Kansas,"Bergland, David",libertarian,3329
1984,Kansas,"Serrette, Dennis",alliance,2544
1984,Kansas,"Dodge, Earl",prohibition,2109
1984,Kentucky,"Reagan, Ronald",republican,821702
1984,Kentucky,"Mondale, Walter",democrat,539539
1984,Kentucky,"Mason, Melvin",socialist workers,3129
1984,Kentucky,"Larouche, Lyndon, Jr.",independent,1776
1984,Kentucky,"Anderson, John B.",national unity,1479
1984,Kentucky,"Johnson, Sonia",citizens,599
1984,Kentucky,"Dennis, Delmar",american,428
1984,Kentucky,"Serrette, Dennis",alliance,365
1984,Kentucky,"Hall, Gus",communist party use,328
1984,Louisiana,"Reagan, Ronald",republican,1037299
1984,Louisiana,"Mondale, Walter",democrat,651586
1984,Louisiana,"Johnson, Sonia",citizens,9502
1984,Louisiana,"Larouche, Lyndon, Jr.",independent,3552
1984,Louisiana,"Bergland, David",libertarian,1876
1984,Louisiana,"Richards, Bob",populist,1310
1984,Louisiana,"Mason, Melvin",socialist workers,1164
1984,Louisiana,"Serrette, Dennis",alliance,533
1984,Maine,"Reagan, Ronald",republican,336500
1984,Maine,"Mondale, Walter",democrat,214515
1984,Maine,"Hall, Gus",communist party use,1292
1984,Maine,"Serrette, Dennis",alliance,755
1984,Maine,Other,,82
1984,Maryland,"Reagan, Ronald",republican,879918
1984,Maryland,"Mondale, Walter",democrat,787935
1984,Maryland,"Bergland, David",libertarian,5721
1984,Maryland,"Hall, Gus",communist party use,898
1984,Maryland,"Holmes, Larry",workers world,745
1984,Maryland,"Serrette, Dennis",alliance,656
1984,Massachusetts,"Reagan, Ronald",republican,1310936
1984,Massachusetts,"Mondale, Walter",democrat,1239606
1984,Massachusetts,"Serrette, Dennis",alliance,7998
1984,Massachusetts,Other,,843
1984,Michigan,"Reagan, Ronald",republican,2251571
1984,Michigan,"Mondale, Walter",democrat,1529638
1984,Michigan,"Bergland, David",libertarian,10055
1984,Michigan,"Larouche, Lyndon, Jr.",independent,3862
1984,Michigan,"Holmes, Larry",workers world,1416
1984,Michigan,"Johnson, Sonia",citizens,1191
1984,Michigan,"Mason, Melvin",socialist workers,1049
1984,Michigan,"Hall, Gus",communist party use,1048
1984,Michigan,"Serrette, Dennis",alliance,665
1984,Michigan,Other,,602
1984,Michigan,"Winn, Edward",workers league,561
1984,Minnesota,"Mondale, Walter",democrat,1036364
1984,Minnesota,"Reagan, Ronald",republican,1032603
1984,Minnesota,"Larouche, Lyndon, Jr.",independent,3865
1984,Minnesota,"Mason, Melvin",socialist workers,3180
1984,Minnesota,"Bergland, David",libertarian,2996
1984,Minnesota,"Richards, Bob",populist,2377
1984,Minnesota,"Johnson, Sonia",citizens,1219
1984,Minnesota,Other,,723
1984,Minnesota,"Hall, Gus",communist party use,630
1984,Minnesota,"Winn, Edward",workers league,260
1984,Minnesota,"Serrette, Dennis",alliance,232
1984,Mississippi,"Reagan, Ronald",republican,582377
1984,Mississippi,"Mondale, Walter",democrat,352192
1984,Mississippi,"Bergland, David",libertarian,2336
1984,Mississippi,"Holmes, Larry",workers world,1169
1984,Mississippi,"Mason, Melvin",socialist workers,1032
1984,Mississippi,"Larouche, Lyndon, Jr.",independent,1001
1984,Mississippi,"Richards, Bob",populist,641
1984,Mississippi,"Serrette, Dennis",alliance,356
1984,Missouri,"Reagan, Ronald",republican,1274188
1984,Missouri,"Mondale, Walter",democrat,848583
1984,Montana,"Reagan, Ronald",republican,232450
1984,Montana,"Mondale, Walter",democrat,146742
1984,Montana,"Bergland, David",libertarian,5185
1984,Nebraska,"Reagan, Ronald",republican,460054
1984,Nebraska,"Mondale, Walter",democrat,187866
1984,Nebraska,"Bergland, David",libertarian,2079
1984,Nebraska,"Mason, Melvin",socialist workers,1066
1984,Nebraska,"Serrette, Dennis",alliance,1025
1984,Nevada,"Reagan, Ronald",republican,188770
1984,Nevada,"Mondale, Walter",democrat,91655
1984,Nevada,"Bergland, David",libertarian,2292
1984,New Hampshire,"Reagan, Ronald",republican,267050
